ID,Titulo,Autores,Año,DOI,Introduccion,Metodologia,Analisis_Requerimientos,Entorno_Experimental,Tamaño_Dataset,Metricas_Rendimiento,Limitaciones,Discusiones,Implementacion_Software,Conclusion,Referencia_BibTeX,Accuracy_Num,Tipo_Publicacion,Venue,Metodologia_Categorizada,Dataset_Tipo,Metodologia_2x2,Metodologia_3x3,Periodo_Año,Entorno_3x3,Implementacion_Cruce,Limitacion_Cruce
40,LC-YOLO: An Improved YOLOv8-Based Lane Detection Model for Enhanced Lane Intrusion Detection,"Abdulkareem Abdullah, Guo Ling, Mohammed Al‐Soswa, Ali Desbi",2025,10.1049/ipr2.70065,"Lane intrusion detection is an essential component of road safety, as vehicles crossing into lanes without proper signalling can lead to accidents, congestion and traffic violations. In order to overcome these challenges, it has become critical for the future autonomous vehicles and ADAS to possess a precise and reliable lane detection technique which could then further monitor the lane violation in real‐time.","YOLOv8, YOLO, Deep Learning","Lane intrusion detection is an essential component of road safety, as vehicles crossing into lanes without proper signalling can lead to accidents, congestion and traffic violations.",,,"97.9% mAP, mAP of 97.9","However, lane detection is still challenging due to variants in lighting conditions, obstructions and weak markers.",,,"The proposed YOLOv8 model improves lane detection accuracy and reliability, achieving a 97.9% mAP, enhancing road safety and traffic control.","@article{abdullah2025lcyolo, author={Abdulkareem Abdullah and Guo Ling and Mohammed Al‐Soswa and Ali Desbi}, title={LC-YOLO: An Improved YOLOv8-Based Lane Detection Model for Enhanced Lane Intrusion Detection}, journal={IET Image Process.}, year={2025}, doi={10.1049/ipr2.70065}}",,Revista Científica (Journal),IET Image Process.,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
41,Deep Learning-based Traffic Violation Detection using YOLOv8 and PaddleOCR,"Bala Bhaskara, Rao Emani, Y. Kodali, L. Venkata, K. Rao, Nagaraju Kokkiripati, Bhargavi Morla, Raja Nandini Madu",2025,10.1109/icpcsn65854.2025.11035399,"The wearing of a helmet on motorcycle riding minimizes the risk of head injuries sustained during traffic accidents. Although conventional modes of manual enforcement fail, modern deep learning techniques are unable to handle small-object detection, such as helmets and license plates.","YOLOv8, Deep Learning",,,,,"The sort of object that they were recognizing, namely the helmet, triple riders, and license plates, was shown to be really competent, high mAP and FPS with fewer model parameters, making it particularly important for real-life traffic environments and the limitations of processing capacity of devices.",,PaddleOCR / EasyOCR,"The improved YOLOv8n-based model effectively detects traffic violations, such as helmets and license plates, while reducing computational load and manual monitoring.","@inproceedings{bhaskara2025deep, author={Bala Bhaskara and Rao Emani and Y. Kodali and L. Venkata and K. Rao and Nagaraju Kokkiripati and Bhargavi Morla and Raja Nandini Madu}, title={Deep Learning-based Traffic Violation Detection using YOLOv8 and PaddleOCR}, booktitle={2025 5th International Conference on Pervasive Computing and Social Networking (ICPCSN)}, year={2025}, doi={10.1109/icpcsn65854.2025.11035399}}",,Conferencia (Conference),2025 5th International Conference on Pervasive Computing and Social Networking (ICPCSN),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,Otros,Otros
42,Traffic Violation Detection Using Deep Learning,"Mr. S. Suresh, J. Gopalakrishnan, K. Guruseelan, S. Giridharan, K. Gururajan",2025,10.47392/irjaem.2025.0221,"Challenges such as varying lighting conditions, occlusions, and diverse plate formats necessitate adaptive algorithms.","YOLO, CNN (Redes Convolucionales), Deep Learning, Machine Learning",,,,,"Challenges such as varying lighting conditions, occlusions, and diverse plate formats necessitate adaptive algorithms.",,,"Deep learning techniques, such as Convolutional Neural Networks and YOLO models, significantly improve traffic violation detection accuracy and robustness in intelligent transportation systems.","@article{suresh2025traffic, author={Mr. S. Suresh and J. Gopalakrishnan and K. Guruseelan and S. Giridharan and K. Gururajan}, title={Traffic Violation Detection Using Deep Learning}, journal={International Research Journal on Advanced Engineering and Management (IRJAEM)}, year={2025}, doi={10.47392/irjaem.2025.0221}}",,Revista Científica (Journal),International Research Journal on Advanced Engineering and Management (IRJAEM),Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,No especificado,No especificado,Otros
43,Red light crossing violations modelling using deep learning and variance-based sensitivity analysis,"Mahmoud Owais, M. Sayed",2025,10.1016/j.eswa.2024.126258,,Deep Learning,,,,,,,,"Deep Residual Neural Networks (DRNNs) can effectively predict and measure red light crossing violations, highlighting the need to address maximum queue length and green and cycle times to reduce RLCV frequency.","@article{owais2025light, author={Mahmoud Owais and M. Sayed}, title={Red light crossing violations modelling using deep learning and variance-based sensitivity analysis}, journal={Expert Syst. Appl.}, year={2025}, doi={10.1016/j.eswa.2024.126258}}",,Revista Científica (Journal),Expert Syst. Appl.,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,No especificado
44,UrbanEye: Deep Learning Enhanced Two-Wheeler Traffic Rule Violation Detection using YOLO and OCR,"Swathi Gowroju, Shilpa Choudhary, N. Sathwik, A. Banu, E. Kumar, N. Ashritha",2025,10.1109/isac364032.2025.11156855,"Immediate alerts along with the reports will help law enforcement agencies to act and take action promptly which will minimize the need of manual monitoring. Designed for seamless integration with existing traffic management infrastructures, this system enhances traffic rule enforcement, promoting road safety and reducing accidents.","YOLO, Deep Learning",,,,,"The system utilizes object detection models like YOLO (you only look once) to detect vehicles, helmets, and license plates, while deep learning models are trained on large datasets to recognize patterns and predict traffic violations.",,OpenCV,"The deep learning enhanced two-wheeler traffic rule violation detection system automatically detects violations like helmet-less riding, improper lane usage, triple riding, and license plate violations, promoting road safety and reducing accidents.","@inproceedings{gowroju2025urbaneye, author={Swathi Gowroju and Shilpa Choudhary and N. Sathwik and A. Banu and E. Kumar and N. Ashritha}, title={UrbanEye: Deep Learning Enhanced Two-Wheeler Traffic Rule Violation Detection using YOLO and OCR}, booktitle={2025 International Conference on Innovations in Intelligent Systems: Advancements in Computing, Communication, and Cybersecurity (ISAC3)}, year={2025}, doi={10.1109/isac364032.2025.11156855}}",,Conferencia (Conference),"2025 International Conference on Innovations in Intelligent Systems: Advancements in Computing, Communication, and Cybersecurity (ISAC3)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,Otros,Otros
45,Traffic Signal Violation Detection System,"K. Pujitha, J. Indu, B. Sasi Vardhan, P. Sandeep Kumar, Mrs. G. Ramadevi",2025,10.32628/cseit2511141,"Traffic signal violations are a major cause of accidents and traffic congestion. The proposed system enhances road safety, reduces human intervention, and supports smart city traffic management systems.","SSD, CNN (Redes Convolucionales), MobileNet, Deep Learning",,,,,"The system leverages SSD MobileNet V1, a pre-trained Convolutional Neural Network (CNN), to detect and classify traffic signals in real-time.",,TensorFlow / PyTorch,"The proposed system enhances road safety, reduces human intervention, and supports smart city traffic management systems.","@article{pujitha2025traffic, author={K. Pujitha and J. Indu and B. Sasi Vardhan and P. Sandeep Kumar and Mrs. G. Ramadevi}, title={Traffic Signal Violation Detection System}, journal={International Journal of Scientific Research in Computer Science, Engineering and Information Technology}, year={2025}, doi={10.32628/cseit2511141}}",,Revista Científica (Journal),"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,Otros,Otros
46,Real-Time Traffic Violation Detection with Automated Enforcement Using Computer Vision,"K. Balasaranya, Dr. C. Chandravathi, M. Balamurugan, K. Logapriyadarshini, Suresh Babu, Thandullu Naganathan",2025,10.1109/iccsp64183.2025.11089113,"This study illustrates the capability of integrating AI-driven object identification with automated enforcement to develop intelligent, efficient, and scalable traffic monitoring systems, therefore enhancing road safety and improving traffic control.","YOLOv5, Mask R-CNN, CNN (Redes Convolucionales)",,,,,"The identified infractions are validated using a probabilistic method grounded in Bayesian reasoning, guaranteeing minimally false positive rates. It comprises annotated images of diverse traffic infractions, including red light violations, helmet noncompliance, and mobile device use, facilitating precise model training.",,,It highlights the ability to transform traffic management and enforcement practices in smart cities by integrating computer vision and IoT technologies.,"@inproceedings{balasaranya2025realtime, author={K. Balasaranya and Dr. C. Chandravathi and M. Balamurugan and K. Logapriyadarshini and Suresh Babu and Thandullu Naganathan}, title={Real-Time Traffic Violation Detection with Automated Enforcement Using Computer Vision}, booktitle={2025 11th International Conference on Communication and Signal Processing (ICCSP)}, year={2025}, doi={10.1109/iccsp64183.2025.11089113}}",,Conferencia (Conference),2025 11th International Conference on Communication and Signal Processing (ICCSP),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
47,Abnormal Driving Behavior Detection: A Machine and Deep Learning Based Hybrid Model,"Md. Ashraf Uddin, N. Hossain, A. Ahamed, Md. Manowarul Islam, Ansam Khraisat, Ammar Alazab, Md. Khabir Uddin Ahamed, M. Talukder",2025,10.1007/s13177-025-00471-2,"Car accidents remain a leading cause of unintentional fatalities, with many incidents stemming from driver behaviors that impact vehicle control, such as steering, braking, accelerating, and gear shifting. Activities like searching for items, using mobile devices, or listening to the radio can distract drivers visually, audibly, and physically, posing significant risks to road safety.","Random Forest, ResNet, EfficientNet, Deep Learning, Machine Learning",,,,accuracy of 99.3,,"Deep learning experiments further revealed that the Base Model outperformed other models, achieving accuracies of 99.32% on the UAH-Drive dataset and 99.87% on the SFD3 dataset. Six ML classifiers were evaluated on real-world data to distinguish between driving behaviors such as aggressive, fatigued, and normal driving, with the Random Forest classifier demonstrating superior performance.",,"This hybrid machine learning-deep learning model effectively detects abnormal driving behaviors, improving road safety and reducing accidents.","@article{uddin2025abnormal, author={Md. Ashraf Uddin and N. Hossain and A. Ahamed and Md. Manowarul Islam and Ansam Khraisat and Ammar Alazab and Md. Khabir Uddin Ahamed and M. Talukder}, title={Abnormal Driving Behavior Detection: A Machine and Deep Learning Based Hybrid Model}, journal={International Journal of Intelligent Transportation Systems Research}, year={2025}, doi={10.1007/s13177-025-00471-2}}",99.3,Revista Científica (Journal),International Journal of Intelligent Transportation Systems Research,Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,No especificado,No especificado,No especificado
48,Classification of Driver Behaviour Using External Observation Techniques for Autonomous Vehicles,"Ian Nell, Shane Gilroy",2025,10.1109/iccma67641.2025.11369693,"Road traffic accidents remain a significant global concern, with human error, particularly distracted and impaired driving, among the leading causes.",YOLO,,,,,,,,"This study presents a novel driver behavior classification system using external observation techniques to detect indicators of distraction and impairment in autonomous vehicles, enabling analysis across various road and environmental conditions.","@inproceedings{nell2025classification, author={Ian Nell and Shane Gilroy}, title={Classification of Driver Behaviour Using External Observation Techniques for Autonomous Vehicles}, booktitle={2025 13th International Conference on Control, Mechatronics and Automation (ICCMA)}, year={2025}, doi={10.1109/iccma67641.2025.11369693}}",,Conferencia (Conference),"2025 13th International Conference on Control, Mechatronics and Automation (ICCMA)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,No especificado
49,Modeling of injury severity of distracted driving accident using statistical and machine learning models,"Neero Gumsar Sorum, Martina Gumsar Sorum",2025,10.1371/journal.pone.0326113,Distracted Driving (DD) is one of the global causes of high mortality and fatality in road traffic accidents. The increase in the number of distracted driving accidents (DDAs) is one of the concerns among transportation communities.,"XGBoost, Machine Learning",,,,,,,,"Distracted driving accidents are significantly influenced by age, vehicle type, and time of day, with the XGBoost model and Single Layer Perceptron model being the best-performing machine learning models.","@article{sorum2025modeling, author={Neero Gumsar Sorum and Martina Gumsar Sorum}, title={Modeling of injury severity of distracted driving accident using statistical and machine learning models}, journal={PLOS One}, year={2025}, doi={10.1371/journal.pone.0326113}}",,Revista Científica (Journal),PLOS One,Machine Learning (ML),No especificado,Otras Metodologías,Machine Learning (ML),2025 - 2026,No especificado,No especificado,No especificado
50,Data-Driven Anomaly Detection in Urban Traffic Data: A Deep Learning Approach,"Jyotirmaya Ijaradar, Sebastian Pape, Chaopeng Tan, Matthias Körner, Meng Wang",2025,10.1109/mt-its68460.2025.11223545,"However, identifying anomalies in a large urban network is challenging due to the lack of ground truth and the complex spatiotemporal characteristics of traffic data.","LSTM, Autoencoder, Deep Learning",,,,,"However, identifying anomalies in a large urban network is challenging due to the lack of ground truth and the complex spatiotemporal characteristics of traffic data.","Experimental results demonstrate the model's ability to distinguish between normal traffic variations and true anomalies, and our method outperforms all the baselines.",,"The GLA-AE deep learning model effectively detects traffic anomalies in urban networks, outperforming all existing methods and outperforming ground truth methods.","@inproceedings{ijaradar2025datadriven, author={Jyotirmaya Ijaradar and Sebastian Pape and Chaopeng Tan and Matthias Körner and Meng Wang}, title={Data-Driven Anomaly Detection in Urban Traffic Data: A Deep Learning Approach}, booktitle={2025 9th International Conference on Models and Technologies for Intelligent Transportation Systems (MT-ITS)}, year={2025}, doi={10.1109/mt-its68460.2025.11223545}}",,Conferencia (Conference),2025 9th International Conference on Models and Technologies for Intelligent Transportation Systems (MT-ITS),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
51,Application and Optimization of Convolutional Neural Networks Based on Deep Learning in Network Traffic Classification and Anomaly Detection,"Yanjie Wang, Lei Song",2025,10.31449/inf.v49i14.7602,"To solve this problem, this paper proposes a network traffic classification and anomaly detection technology based on deep learning. The experimental results show that the accuracy of the proposed model on the test dataset reaches 98.7%, excellent performance was achieved on the CIC-IDS2017 and ISCX VPN NOVPN datasets, with accuracies of 98.5% and 99.2%, respectively, significantly improving recall and F1 score, and effectively reducing error rates, outperforming traditional methods.","CNN (Redes Convolucionales), Deep Learning",,,,,"In addition, this paper further optimizes the model by comparing and analyzing the performance of different network structures, and finally reduces the false alarm rate to 1.5%.",,,"This research provides effective technical support for improving network security, deeply analyzes the influence of different network structures and parameters on the performance of the model, and finally optimizes the best model, which shows strong robustness and adaptability in multiple real network environments</jats:p>","@article{wang2025application, author={Yanjie Wang and Lei Song}, title={Application and Optimization of Convolutional Neural Networks Based on Deep Learning in Network Traffic Classification and Anomaly Detection}, journal={Informatica (Slovenia)}, year={2025}, doi={10.31449/inf.v49i14.7602}}",,Revista Científica (Journal),Informatica (Slovenia),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
52,The Smart City Transportation: Deep Learning Ensemble Approach for Traffic Accident Detection,"Kalluri Ravi Kumar, MRS. SUREKHA",2025,10.36893/jes.2025.v16i04.030,"With rapid urbanization and increasing vehicular density, traffic accidents pose significant challenges to smart city transportation systems. Traditional accident detection methods rely on manual reporting and surveillancebased monitoring, which often lead to delays in emergency response and traffic management.","CNN (Redes Convolucionales), Transformer, Deep Learning",,Videovigilancia / CCTV,,,"By leveraging ensemble learning techniques, the model improves detection accuracy, reduces false positives, and enhances real-time accident prediction.",,CCTV / Cámaras,"The proposed deep learning ensemble-based approach improves traffic accident detection accuracy and reduces false positives, contributing to safer and more efficient smart city transportation systems.","@article{kumar2025smart, author={Kalluri Ravi Kumar and MRS. SUREKHA}, title={The Smart City Transportation: Deep Learning Ensemble Approach for Traffic Accident Detection}, journal={Journal of Engineering Sciences}, year={2025}, doi={10.36893/jes.2025.v16i04.030}}",,Revista Científica (Journal),Journal of Engineering Sciences,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Cámaras (CCTV),Cámaras / CCTV,Otros
53,Detection of Unusual Activities on the Road Using Deep CNN,Sumith Reddy Kalwa,2025,10.22214/ijraset.2025.69790,Traffic accidents are a leading cause of violent deaths worldwide. This paper presents an automated approach based on Deep Learning (DL) to detect traffic accidents from live video streams in real-time.,"CNN (Redes Convolucionales), Deep Learning",,,,,,,,"Deep Learning-based models can accurately detect traffic accidents in real-time from live video streams, regardless of road structure.","@article{kalwa2025unusual, author={Sumith Reddy Kalwa}, title={Detection of Unusual Activities on the Road Using Deep CNN}, journal={International Journal for Research in Applied Science and Engineering Technology}, year={2025}, doi={10.22214/ijraset.2025.69790}}",,Revista Científica (Journal),International Journal for Research in Applied Science and Engineering Technology,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,No especificado
54,A multimodal deep fusion framework for highway traffic anomaly detection,"Mengmeng Duan, Shaowei Sun, Mingzhou Liu",2025,10.1038/s41598-025-18671-x,"To address these challenges, we propose a multimodal deep fusion framework based on heterogeneous graph neural networks (HGNNs), enhanced by an ensemble contrastive pessimistic likelihood estimation (CPLE) algorithm. The research is motivated by the growing challenges of urbanization, where real-time detection and prediction of traffic anomalies are increasingly critical.",LSTM,,,,"accuracy of 0.980, F1 score of 0.967","The framework integrates both static and dynamic traffic data, including video images, traffic flow, vehicle speed, and tunnel weather conditions.","Compared with existing models such as AGC-LSTM and AttentionDeepST, the proposed MHGNN-CPLE model demonstrates superior performance, particularly in static detection tasks, achieving an accuracy of 0.980 and an F1 score of 0.967.",,"The proposed multimodal deep fusion framework based on HGNNs and CPLE algorithm significantly improves real-time traffic anomaly detection accuracy and robustness, outperforming existing models.","@article{duan2025multimodal, author={Mengmeng Duan and Shaowei Sun and Mingzhou Liu}, title={A multimodal deep fusion framework for highway traffic anomaly detection}, journal={Scientific Reports}, year={2025}, doi={10.1038/s41598-025-18671-x}}",98.0,Revista Científica (Journal),Scientific Reports,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
55,Risk Assessment Method for Autonomous Vehicles Violating Safety Common Sense Based on Driving Behavior,"Zhaowen Pang, Zhenbin Chen, Jiayi Lu, Bin Sun, Tianyang Gong, Xinjie Feng, Yu Wang, Shichun Yang, Yaoguang Cao",2025,10.1109/access.2025.3552833,"As autonomous driving technology continues to evolve, ensuring decision-making safety in complex traffic environments has become a major challenge. This study proposes a novel risk assessment method based on driving behaviors that violate safety common sense.",GMM,,,,,This method addresses the limitations of existing approaches by providing a more adaptive and accurate framework for assessing unconventional yet risky driving behaviors.,,,"This study proposes a novel risk assessment method for autonomous vehicles based on driving behaviors that violate safety common sense, offering a more adaptive and accurate framework for assessing unconventional driving behaviors.","@article{pang2025risk, author={Zhaowen Pang and Zhenbin Chen and Jiayi Lu and Bin Sun and Tianyang Gong and Xinjie Feng and Yu Wang and Shichun Yang and Yaoguang Cao}, title={Risk Assessment Method for Autonomous Vehicles Violating Safety Common Sense Based on Driving Behavior}, journal={IEEE Access}, year={2025}, doi={10.1109/access.2025.3552833}}",,Revista Científica (Journal),IEEE Access,Machine Learning (ML),No especificado,Otras Metodologías,Machine Learning (ML),2025 - 2026,No especificado,No especificado,Otros
56,Composite Safety Potential Field for Highway Driving Risk Assessment,"Dachuan Zuo, Zilin Bian, Fan Zuo, K. Ozbay",2025,10.48550/arxiv.2504.21158,"In the era of rapid advancements in vehicle safety technologies, driving risk assessment has become a focal point of attention. Existing safety potential field models assess driving risks by considering both objective and subjective safety factors.",,"To be effective, driving risk assessment metrics must not only accurately identify potential collisions but also exhibit human-like reasoning to enable safe and seamless interactions between vehicles.",Conducción naturalista / Vehículo real en vía pública,,,"These models are often challenging to calibrate due to the arbitrary nature of their structures, and calibration can be inefficient because of the scarcity of accident statistics.",,,"The composite safety potential field framework (C-SPF) effectively evaluates driving risks by considering both subjective and objective factors, improving real-world applicability and capturing drivers' risk perception.","@article{zuo2025composite, author={Dachuan Zuo and Zilin Bian and Fan Zuo and K. Ozbay}, title={Composite Safety Potential Field for Highway Driving Risk Assessment}, journal={Accident; analysis and prevention}, year={2025}, doi={10.48550/arxiv.2504.21158}}",,Revista Científica (Journal),Accident; analysis and prevention,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,Vía pública / Real,No especificado,Otros
57,A multi-class driver behavior dataset for real-time detection and road safety enhancement,"Arafat Sahin Afridi, Arafath Kafy, Ms. Nazmun Nessa Moon, Md. Shahriar Shakil",2025,10.1016/j.dib.2025.111529,,,,,,,,,,"This dataset captures real-world driver behaviors in diverse conditions, aiding in the development of AI-driven driver monitoring systems and reducing distracted driving accidents.","@article{afridi2025multiclass, author={Arafat Sahin Afridi and Arafath Kafy and Ms. Nazmun Nessa Moon and Md. Shahriar Shakil}, title={A multi-class driver behavior dataset for real-time detection and road safety enhancement}, journal={Data in Brief}, year={2025}, doi={10.1016/j.dib.2025.111529}}",,Revista Científica (Journal),Data in Brief,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,No especificado,No especificado,No especificado
58,Detection of Unsafe Behavior in conveying Vehicle Parts using Computer Vision,"Carlos Eduardo Vazquez-Monjaras, Leonor Adriana Cárdenas-Robledo, Carolina Reta",2024,10.48084/etasr.7530,"The intention of this research is to prevent workplace accidents and promote safety in the production environment by creating a personalized dataset composed of images that capture some incorrect ways of loading the car body doors, labeled as unsafe acts.","YOLOv8, CNN (Redes Convolucionales), Deep Learning",,Entorno industrial / Laboral,,,"The employment of Convolutional Neural Networks (CNNs) for either object or event detection was studied, and a vision system specifically trained for real-time detection of unsafe acts carried out by personnel while conveying car body parts was implemented. For this purpose, a YOLOv8 DL model was trained to recognize unsafe behaviors, and after the test execution, the system efficiently identified safe and unsafe acts.",,,"Deep Learning models can effectively detect unsafe acts in conveying vehicle parts, promoting workplace safety and enhancing surveillance in vehicle assembly plants.","@article{vazquezmonjaras2024unsafe, author={Carlos Eduardo Vazquez-Monjaras and Leonor Adriana Cárdenas-Robledo and Carolina Reta}, title={Detection of Unsafe Behavior in conveying Vehicle Parts using Computer Vision}, journal={Engineering, Technology &amp; Applied Science Research}, year={2024}, doi={10.48084/etasr.7530}}",,Revista Científica (Journal),"Engineering, Technology &amp; Applied Science Research",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,Otros,No especificado,Otros
59,Unsafe-Net: YOLO v4 and ConvLSTM based computer vision system for real-time detection of unsafe behaviours in workplace,"Oğuzhan Önal, E. Dandıl",2024,10.1007/s11042-024-19276-8,"Unsafe behaviour is a leading cause of death or injury in the workplace, including many accidents. Despite regular safety inspections in workplaces, many accidents occur as a result of breaches of occupational health and safety protocols.","YOLO, Deep Learning",,Entorno industrial / Laboral,,,,,,"Unsafe-Net, a hybrid computer vision approach using deep learning models, accurately detects and reduces unsafe behavior in workplaces by 75%.","@article{nal2024unsafenet, author={Oğuzhan Önal and E. Dandıl}, title={Unsafe-Net: YOLO v4 and ConvLSTM based computer vision system for real-time detection of unsafe behaviours in workplace}, journal={Multimedia Tools and Applications}, year={2024}, doi={10.1007/s11042-024-19276-8}}",,Revista Científica (Journal),Multimedia Tools and Applications,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,Otros,No especificado,No especificado
60,Deep Learning Model for Driver Behavior Detection in Cyber-Physical System-Based Intelligent Transport Systems,"B. B. Gupta, Akshat Gaurav, K. Chui, V. Arya",2024,10.1109/access.2024.3393909,"As Intelligent Transport Systems (ITS) continue to evolve, the quest for improving road safety and transportation efficiency has gained renewed emphasis. Recognizing signs of fatigue, distraction, or inattentiveness is critical in enhancing road safety and optimizing traffic flow.",Deep Learning,,,,94% accuracy,"With an unwavering commitment to road safety and transportation efficiency, we’ve harnessed the power of deep learning to design, develop, and train an exceptionally accurate model.",,,"Deep learning models in Cyber-Physical Systems-based intelligent transport systems can accurately detect driver behavior, improving road safety and traffic management.","@article{gupta2024deep, author={B. B. Gupta and Akshat Gaurav and K. Chui and V. Arya}, title={Deep Learning Model for Driver Behavior Detection in Cyber-Physical System-Based Intelligent Transport Systems}, journal={IEEE Access}, year={2024}, doi={10.1109/access.2024.3393909}}",94.0,Revista Científica (Journal),IEEE Access,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,No especificado,No especificado,Otros
61,Design and implementation of a driving safety assistant system based on driver behavior,"Adil Salbi, Mohamed Amine Gadi, Tarik Bouganssa, Abdelhadi Eloudrhiri Hassani, A. Lasfar",2024,10.11591/ijai.v13.i3.pp2603-2613,"These days, road accidents are one of Morocco's biggest problems. Fatigue, drowsiness, and driver behavior are among the primary causes.This research aims to develop an embedded system by image processing and computer vision to ensure driving safety by monitoring driver behavior and assist drivers to awaken from micro-sleep or fatigue due to long driving hours and various other reasons.",,,,,,,,"Raspberry Pi, OpenCV, Python / MATLAB, Sistemas Embebidos","This research developed an embedded system using image processing and computer vision to monitor driver behavior and alert drivers when they are fatigued, inattentive, or inattentive, with an accuracy of over 93% in EAR and MAR calculations.","@article{salbi2024design, author={Adil Salbi and Mohamed Amine Gadi and Tarik Bouganssa and Abdelhadi Eloudrhiri Hassani and A. Lasfar}, title={Design and implementation of a driving safety assistant system based on driver behavior}, journal={IAES International Journal of Artificial Intelligence (IJ-AI)}, year={2024}, doi={10.11591/ijai.v13.i3.pp2603-2613}}",,Revista Científica (Journal),IAES International Journal of Artificial Intelligence (IJ-AI),Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,No especificado,Edge Computing,No especificado
62,Integrating visual large language model and reasoning chain for driver behavior analysis and risk assessment.,"Kunpeng Zhang, Shipu Wang, Ning Jia, Liang Zhao, Chunyang Han, Li Li",2024,10.1016/j.aap.2024.107497,,,,,,,,,,"The Distracted Driving Language Model (DDLM) effectively classifies driver distractions and provides context-aware risk assessments, improving driving safety.","@article{zhang2024integrating, author={Kunpeng Zhang and Shipu Wang and Ning Jia and Liang Zhao and Chunyang Han and Li Li}, title={Integrating visual large language model and reasoning chain for driver behavior analysis and risk assessment.}, journal={Accident; analysis and prevention}, year={2024}, doi={10.1016/j.aap.2024.107497}}",,Revista Científica (Journal),Accident; analysis and prevention,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,No especificado,No especificado,No especificado
63,Intelligent Vehicle Violation Detection System Under Human–Computer Interaction and Computer Vision,Yan Ren,2024,10.1007/s44196-024-00427-6,"In view of the current problems of low detection accuracy, poor stability and slow detection speed of intelligent vehicle violation detection systems, this article will use human–computer interaction and computer vision technology to solve the existing problems. Through computer vision technology, the system can accurately detect and identify vehicle violations in real time, effectively improving the efficiency and safety of traffic management.",,"Then, use Kalman filtering to track and study the vehicle to help better predict the trajectory of the vehicle in the area that needs to be detected; finally, use human–computer interaction technology to build the interactive interface of the system and improve the operability of the system.",,,96.86% accuracy,,,,"This intelligent vehicle violation detection system, using human-computer interaction and computer vision technology, improves traffic management efficiency and safety by detecting violations with over 96.86% accuracy in real time.","@article{ren2024intelligent, author={Yan Ren}, title={Intelligent Vehicle Violation Detection System Under Human–Computer Interaction and Computer Vision}, journal={International Journal of Computational Intelligence Systems}, year={2024}, doi={10.1007/s44196-024-00427-6}}",96.86,Revista Científica (Journal),International Journal of Computational Intelligence Systems,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,No especificado,No especificado,No especificado
